时间戳,目标档位,当前速度(m/s),转向角(°),运行模式,心跳计数
2025-10-13 14:18:09,D档,2817,1488,auto,4
2025-10-13 14:18:09,D档,3073,2736,auto,4
2025-10-13 14:18:09,D档,6,2736,auto,15
2025-10-13 14:18:09,D档,779,4000,auto,12
2025-10-13 14:18:09,D档,3855,4000,auto,3
2025-10-13 14:18:09,D档,16,5280,auto,13
2025-10-13 14:18:09,D档,2065,5280,auto,10
2025-10-13 14:18:09,D档,3343,6576,auto,14
2025-10-13 14:18:09,D档,2062,6576,auto,8
2025-10-13 14:18:09,D档,781,8160,auto,7
2025-10-13 14:18:09,D档,2571,8160,auto,9
2025-10-13 14:18:09,D档,14,9488,auto,14
2025-10-13 14:18:09,D档,529,9488,auto,14
2025-10-13 14:18:09,D档,1811,10832,auto,14
2025-10-13 14:18:09,D档,2070,10832,auto,14
2025-10-13 14:18:09,D档,3095,12208,auto,5
2025-10-13 14:18:09,D档,1303,12208,auto,15
2025-10-13 14:18:09,D档,1303,13600,auto,6
2025-10-13 14:18:09,D档,1047,14720,auto,10
2025-10-13 14:18:09,D档,1303,14720,auto,10
2025-10-13 14:18:09,D档,1560,16160,auto,0
2025-10-13 14:18:09,D档,282,16160,auto,6
2025-10-13 14:18:09,D档,3866,17328,auto,9
2025-10-13 14:18:09,D档,1053,17328,auto,3
2025-10-13 14:18:09,D档,30,18512,auto,10
2025-10-13 14:18:09,D档,2591,18512,auto,1
2025-10-13 14:18:09,D档,3103,20000,auto,7
2025-10-13 14:18:09,D档,1312,20000,auto,12
2025-10-13 14:18:09,D档,3105,20928,auto,9
2025-10-13 14:18:09,D档,290,20928,auto,5
2025-10-13 14:18:09,D档,3619,22176,auto,3
2025-10-13 14:18:09,D档,2341,22176,auto,5
2025-10-13 14:18:09,D档,805,23440,auto,15
2025-10-13 14:18:09,D档,38,23440,auto,13
2025-10-13 14:18:09,D档,1063,24400,auto,2
2025-10-13 14:18:09,D档,1575,24400,auto,1
2025-10-13 14:18:09,D档,41,25376,auto,0
2025-10-13 14:18:09,D档,810,25376,auto,2
2025-10-13 14:18:09,D档,2603,26384,auto,7
2025-10-13 14:18:09,D档,300,26384,auto,13
2025-10-13 14:18:09,D档,300,27392,auto,15
2025-10-13 14:18:09,D档,3117,27392,auto,3
2025-10-13 14:18:09,D档,3629,28080,auto,13
2025-10-13 14:18:09,D档,2607,28080,auto,8
2025-10-13 14:18:09,D档,3887,29136,auto,9
2025-10-13 14:18:09,D档,1584,29136,auto,0
2025-10-13 14:18:09,D档,2609,29488,auto,13
2025-10-13 14:18:09,D档,2099,29488,auto,14
2025-10-13 14:18:09,D档,308,29488,auto,4
2025-10-13 14:18:09,D档,3637,29488,auto,10
2025-10-13 14:18:09,D档,2357,29488,auto,10
2025-10-13 14:18:09,D档,2870,29488,auto,9
2025-10-13 14:18:09,D档,1335,29488,auto,4
2025-10-13 14:18:09,D档,2872,29488,auto,11
2025-10-13 14:18:09,D档,3640,29488,auto,1
2025-10-13 14:18:09,D档,2617,29840,auto,14
2025-10-13 14:18:09,D档,2874,29840,auto,12
2025-10-13 14:18:09,D档,2620,30560,auto,3
2025-10-13 14:18:09,D档,3134,30560,auto,2
2025-10-13 14:18:09,D档,2622,30928,auto,14
2025-10-13 14:18:09,D档,63,30928,auto,7
2025-10-13 14:18:09,D档,2367,31296,auto,6
2025-10-13 14:18:09,D档,831,31296,auto,3
2025-10-13 14:18:09,D档,2622,31664,auto,4
2025-10-13 14:18:10,D档,62,31664,auto,13
2025-10-13 14:18:10,D档,317,31664,auto,13
2025-10-13 14:18:10,D档,2877,31664,auto,0
2025-10-13 14:18:10,D档,3134,31664,auto,6
2025-10-13 14:18:10,D档,1086,31664,auto,13
2025-10-13 14:18:10,D档,2367,31664,auto,1
2025-10-13 14:18:10,D档,1854,31664,auto,0
2025-10-13 14:18:10,D档,2878,31664,auto,13
2025-10-13 14:18:10,D档,3134,31664,auto,9
2025-10-13 14:18:10,D档,317,31664,auto,5
2025-10-13 14:18:10,D档,1341,31664,auto,6
2025-10-13 14:18:10,D档,1598,32032,auto,13
2025-10-13 14:18:10,D档,3390,32032,auto,5
2025-10-13 14:18:10,D档,319,32032,auto,8
2025-10-13 14:18:10,D档,2110,32032,auto,14
2025-10-13 14:18:10,D档,3390,32032,auto,10
2025-10-13 14:18:10,D档,3133,32032,auto,8
2025-10-13 14:18:10,D档,1341,32032,auto,0
2025-10-13 14:18:10,D档,2877,32032,auto,9
2025-10-13 14:18:10,D档,1598,32032,auto,5
2025-10-13 14:18:10,D档,3390,32032,auto,13
2025-10-13 14:18:10,D档,63,32032,auto,1
2025-10-13 14:18:10,D档,3390,32032,auto,3
2025-10-13 14:18:10,D档,3390,32032,auto,2
2025-10-13 14:18:10,D档,3645,32032,auto,2
2025-10-13 14:18:10,D档,2877,32032,auto,6
2025-10-13 14:18:10,D档,1342,32032,auto,15
2025-10-13 14:18:10,D档,62,32032,auto,11
2025-10-13 14:18:10,D档,1087,32416,auto,4
2025-10-13 14:18:10,D档,1599,32416,auto,7
2025-10-13 14:18:10,D档,3390,32416,auto,3
2025-10-13 14:18:10,D档,2367,32416,auto,6
2025-10-13 14:18:10,D档,1085,32416,auto,8
2025-10-13 14:18:10,D档,1853,32416,auto,10
2025-10-13 14:18:10,D档,2878,32416,auto,1
2025-10-13 14:18:10,D档,1342,32416,auto,14
2025-10-13 14:18:10,D档,3902,32416,auto,7
2025-10-13 14:18:10,D档,3390,32416,auto,4
2025-10-13 14:18:10,D档,1854,32416,auto,1
2025-10-13 14:18:10,D档,2366,32416,auto,14
2025-10-13 14:18:10,D档,62,32416,auto,4
2025-10-13 14:18:10,D档,1597,32416,auto,3
2025-10-13 14:18:10,D档,3389,32416,auto,15
2025-10-13 14:18:10,D档,2110,32416,auto,11
2025-10-13 14:18:10,D档,3390,32416,auto,13
2025-10-13 14:18:10,D档,2622,32416,auto,11
2025-10-13 14:18:10,D档,2622,32032,auto,12
2025-10-13 14:18:10,D档,1854,32032,auto,0
2025-10-13 14:18:10,D档,318,32032,auto,5
2025-10-13 14:18:10,D档,1597,32032,auto,3
2025-10-13 14:18:10,D档,317,32032,auto,3
2025-10-13 14:18:10,D档,1854,32032,auto,4
2025-10-13 14:18:10,D档,575,32032,auto,2
2025-10-13 14:18:10,D档,1344,32032,auto,3
2025-10-13 14:18:10,D档,2367,32032,auto,7
2025-10-13 14:18:10,D档,3390,32032,auto,2
2025-10-13 14:18:10,D档,1598,32032,auto,10
2025-10-13 14:18:10,D档,3388,32032,auto,0
2025-10-13 14:18:10,D档,574,32032,auto,8
2025-10-13 14:18:10,D档,2365,32032,auto,2
2025-10-13 14:18:10,D档,3390,32032,auto,5
2025-10-13 14:18:10,D档,3390,32032,auto,4
2025-10-13 14:18:10,D档,3646,32032,auto,8
2025-10-13 14:18:10,D档,3646,32032,auto,9
2025-10-13 14:18:10,D档,574,32032,auto,6
2025-10-13 14:18:10,D档,3133,32032,auto,9
2025-10-13 14:18:10,D档,574,32032,auto,0
2025-10-13 14:18:10,D档,2877,31664,auto,1
2025-10-13 14:18:10,D档,830,31664,auto,10
2025-10-13 14:18:10,D档,3902,31664,auto,7
2025-10-13 14:18:10,D档,575,31664,auto,5
2025-10-13 14:18:10,D档,3390,31664,auto,11
2025-10-13 14:18:10,D档,574,31664,auto,7
2025-10-13 14:18:10,D档,2365,31664,auto,13
2025-10-13 14:18:10,D档,830,31664,auto,0
2025-10-13 14:18:10,D档,830,31664,auto,1
2025-10-13 14:18:10,D档,3646,31664,auto,15
2025-10-13 14:18:10,D档,3902,31664,auto,15
2025-10-13 14:18:10,D档,1343,31664,auto,10
2025-10-13 14:18:10,D档,3390,31664,auto,3
2025-10-13 14:18:10,D档,574,31664,auto,15
2025-10-13 14:18:10,D档,574,31664,auto,14
2025-10-13 14:18:10,D档,3133,31664,auto,7
2025-10-13 14:18:10,D档,3646,31664,auto,4
2025-10-13 14:18:10,D档,1599,31664,auto,15
2025-10-13 14:18:10,D档,1087,31664,auto,12
2025-10-13 14:18:10,D档,63,31664,auto,7
2025-10-13 14:18:10,D档,2366,31664,auto,15
2025-10-13 14:18:10,D档,1598,31664,auto,3
2025-10-13 14:18:10,D档,1853,31664,auto,3
2025-10-13 14:18:10,D档,1597,31664,auto,5
2025-10-13 14:18:10,D档,3133,31664,auto,14
2025-10-13 14:18:10,D档,3134,31664,auto,13
2025-10-13 14:18:10,D档,3390,31664,auto,13
2025-10-13 14:18:10,D档,3390,31664,auto,2
2025-10-13 14:18:10,D档,318,31664,auto,15
2025-10-13 14:18:10,D档,2877,31664,auto,6
2025-10-13 14:18:11,D档,318,31664,auto,13
2025-10-13 14:18:11,D档,2365,31664,auto,2
2025-10-13 14:18:11,D档,318,31664,auto,11
2025-10-13 14:18:11,D档,3901,31664,auto,6
2025-10-13 14:18:11,D档,3646,31664,auto,6
2025-10-13 14:18:11,D档,1087,31664,auto,3
2025-10-13 14:18:11,D档,2878,31664,auto,13
2025-10-13 14:18:11,D档,575,31664,auto,7
2025-10-13 14:18:11,D档,2877,31664,auto,15
2025-10-13 14:18:11,D档,829,31664,auto,0
2025-10-13 14:18:11,D档,1086,31664,auto,6
2025-10-13 14:18:11,D档,3390,31664,auto,12
2025-10-13 14:18:11,D档,2879,31664,auto,11
2025-10-13 14:18:11,D档,575,31664,auto,13
2025-10-13 14:18:11,D档,1342,31664,auto,11
2025-10-13 14:18:11,D档,3902,32032,auto,11
2025-10-13 14:18:11,D档,318,32032,auto,4
2025-10-13 14:18:11,D档,317,32032,auto,3
2025-10-13 14:18:11,D档,2877,32032,auto,8
2025-10-13 14:18:11,D档,3134,32032,auto,12
2025-10-13 14:18:11,D档,3390,32032,auto,12
2025-10-13 14:18:11,D档,2623,32032,auto,4
2025-10-13 14:18:11,D档,1599,32032,auto,9
2025-10-13 14:18:11,D档,1598,32032,auto,10
2025-10-13 14:18:11,D档,3133,32032,auto,1
2025-10-13 14:18:11,D档,2878,32032,auto,1
2025-10-13 14:18:11,D档,1853,32032,auto,12
2025-10-13 14:18:11,D档,830,32032,auto,11
2025-10-13 14:18:11,D档,1087,32032,auto,13
2025-10-13 14:18:11,D档,3647,32032,auto,8
2025-10-13 14:18:11,D档,1087,32032,auto,3
2025-10-13 14:18:11,D档,319,32032,auto,5
2025-10-13 14:18:11,D档,2877,32032,auto,14
2025-10-13 14:18:11,D档,1853,32032,auto,5
2025-10-13 14:18:11,D档,1084,32032,auto,7
2025-10-13 14:18:11,D档,3900,32032,auto,15
2025-10-13 14:18:11,D档,2878,31664,auto,3
2025-10-13 14:18:11,D档,3646,31664,auto,9
2025-10-13 14:18:11,D档,3902,31664,auto,9
2025-10-13 14:18:11,D档,2365,31664,auto,12
2025-10-13 14:18:11,D档,1086,31664,auto,0
2025-10-13 14:18:11,D档,1853,31664,auto,4
2025-10-13 14:18:11,D档,1342,31664,auto,7
2025-10-13 14:18:11,D档,2109,31664,auto,9
2025-10-13 14:18:11,D档,573,31664,auto,2
2025-10-13 14:18:11,D档,3646,31664,auto,1
2025-10-13 14:18:11,D档,3390,31664,auto,3
2025-10-13 14:18:11,D档,2878,31664,auto,6
2025-10-13 14:18:11,D档,1086,31664,auto,8
2025-10-13 14:18:11,D档,1342,31664,auto,14
2025-10-13 14:18:11,D档,830,31664,auto,9
2025-10-13 14:18:11,D档,3390,31664,auto,4
2025-10-13 14:18:11,D档,575,31664,auto,10
2025-10-13 14:18:11,D档,1854,31664,auto,0
2025-10-13 14:18:11,D档,3390,31664,auto,11
2025-10-13 14:18:11,D档,1086,31664,auto,1
2025-10-13 14:18:11,D档,3645,31664,auto,10
2025-10-13 14:18:11,D档,2110,31664,auto,11
2025-10-13 14:18:11,D档,1854,31664,auto,5
2025-10-13 14:18:11,D档,2878,31664,auto,10
2025-10-13 14:18:11,D档,319,31664,auto,1
2025-10-13 14:18:11,D档,3646,31664,auto,1
2025-10-13 14:18:11,D档,1599,31664,auto,8
2025-10-13 14:18:11,D档,1597,31664,auto,11
2025-10-13 14:18:11,D档,1854,31664,auto,11
2025-10-13 14:18:11,D档,573,31664,auto,9
2025-10-13 14:18:11,D档,2365,31664,auto,3
2025-10-13 14:18:11,D档,318,31664,auto,8
2025-10-13 14:18:11,D档,3390,31664,auto,5
2025-10-13 14:18:11,D档,575,31664,auto,5
2025-10-13 14:18:11,D档,3902,31664,auto,9
2025-10-13 14:18:11,D档,62,31664,auto,5
2025-10-13 14:18:11,D档,63,31664,auto,4
2025-10-13 14:18:11,D档,1341,31664,auto,6
2025-10-13 14:18:11,D档,2365,31664,auto,11
2025-10-13 14:18:11,D档,318,31664,auto,0
2025-10-13 14:18:11,D档,3134,31664,auto,12
2025-10-13 14:18:11,D档,1599,31664,auto,9
2025-10-13 14:18:11,D档,2367,31664,auto,7
2025-10-13 14:18:11,D档,575,31664,auto,15
2025-10-13 14:18:11,D档,3133,31664,auto,0
2025-10-13 14:18:11,D档,1086,31664,auto,15
2025-10-13 14:18:11,D档,829,31664,auto,9
2025-10-13 14:18:11,D档,2878,31664,auto,2
2025-10-13 14:18:11,D档,3390,31664,auto,5
2025-10-13 14:18:11,D档,3902,31664,auto,8
2025-10-13 14:18:11,D档,3902,31664,auto,9
2025-10-13 14:18:11,D档,3134,31664,auto,9
2025-10-13 14:18:11,D档,3390,31664,auto,9
2025-10-13 14:18:11,D档,1341,31664,auto,6
2025-10-13 14:18:11,D档,1853,31664,auto,5
2025-10-13 14:18:11,D档,1341,31664,auto,4
2025-10-13 14:18:11,D档,3390,31664,auto,13
2025-10-13 14:18:11,D档,2111,31664,auto,7
2025-10-13 14:18:11,D档,3390,31664,auto,3
2025-10-13 14:18:11,D档,3390,31664,auto,0
2025-10-13 14:18:11,D档,318,31664,auto,13
2025-10-13 14:18:11,D档,1854,31664,auto,12
2025-10-13 14:18:12,D档,1852,31664,auto,13
2025-10-13 14:18:12,D档,830,31664,auto,10
2025-10-13 14:18:12,D档,63,31664,auto,8
2025-10-13 14:18:12,D档,63,31664,auto,7
2025-10-13 14:18:12,D档,1599,31664,auto,0
2025-10-13 14:18:12,D档,3390,31664,auto,8
2025-10-13 14:18:12,D档,3389,31664,auto,9
2025-10-13 14:18:12,D档,62,31664,auto,3
2025-10-13 14:18:12,D档,1341,31664,auto,7
2025-10-13 14:18:12,D档,3133,31664,auto,13
2025-10-13 14:18:12,D档,1854,31664,auto,7
2025-10-13 14:18:12,D档,3390,31664,auto,2
2025-10-13 14:18:12,D档,3902,31664,auto,1
2025-10-13 14:18:12,D档,1087,31664,auto,9
2025-10-13 14:18:12,D档,2878,31664,auto,7
2025-10-13 14:18:12,D档,1854,31664,auto,12
2025-10-13 14:18:12,D档,3645,31664,auto,4
2025-10-13 14:18:12,D档,318,31664,auto,8
2025-10-13 14:18:12,D档,1599,31664,auto,14
2025-10-13 14:18:12,D档,575,31664,auto,5
2025-10-13 14:18:12,D档,3390,31664,auto,11
2025-10-13 14:18:12,D档,2366,31664,auto,12
2025-10-13 14:18:12,D档,830,31664,auto,7
2025-10-13 14:18:12,D档,2878,31664,auto,8
2025-10-13 14:18:12,D档,2877,31664,auto,9
2025-10-13 14:18:12,D档,2366,31664,auto,8
2025-10-13 14:18:12,D档,2366,31664,auto,9
2025-10-13 14:18:12,D档,63,31664,auto,15
2025-10-13 14:18:12,D档,64,31664,auto,9
2025-10-13 14:18:12,D档,63,31664,auto,13
2025-10-13 14:18:12,D档,2110,31664,auto,4
2025-10-13 14:18:12,D档,2621,31664,auto,1
2025-10-13 14:18:12,D档,3389,31664,auto,7
2025-10-13 14:18:12,D档,2877,31664,auto,2
2025-10-13 14:18:12,D档,3390,31664,auto,5
2025-10-13 14:18:12,D档,3647,31664,auto,9
2025-10-13 14:18:12,D档,3646,31664,auto,8
2025-10-13 14:18:12,D档,3646,31664,auto,11
2025-10-13 14:18:12,D档,318,31664,auto,5
2025-10-13 14:18:12,D档,318,31664,auto,2
2025-10-13 14:18:12,D档,3133,31664,auto,14
2025-10-13 14:18:12,D档,1085,31664,auto,5
2025-10-13 14:18:12,D档,2621,31664,auto,10
2025-10-13 14:18:12,D档,318,31664,auto,14
2025-10-13 14:18:12,D档,1087,31664,auto,10
2025-10-13 14:18:12,D档,575,31664,auto,15
2025-10-13 14:18:12,D档,3134,31664,auto,0
2025-10-13 14:18:12,D档,1599,31664,auto,13
2025-10-13 14:18:12,D档,318,31664,auto,11
2025-10-13 14:18:12,D档,2110,31664,auto,1
2025-10-13 14:18:12,D档,318,31664,auto,9
2025-10-13 14:18:12,D档,2878,31664,auto,12
2025-10-13 14:18:12,D档,830,31664,auto,5
2025-10-13 14:18:12,D档,1086,31664,auto,1
2025-10-13 14:18:12,D档,574,31664,auto,6
2025-10-13 14:18:12,D档,3646,31664,auto,13
2025-10-13 14:18:12,D档,1085,31664,auto,6
2025-10-13 14:18:12,D档,318,31664,auto,0
2025-10-13 14:18:12,D档,63,31664,auto,0
2025-10-13 14:18:12,D档,1087,31664,auto,11
2025-10-13 14:18:12,D档,3902,31664,auto,1
2025-10-13 14:18:12,D档,3390,31664,auto,0
2025-10-13 14:18:12,D档,3134,31664,auto,0
2025-10-13 14:18:12,D档,3645,31664,auto,5
2025-10-13 14:18:12,D档,2621,31664,auto,0
2025-10-13 14:18:12,D档,2621,31664,auto,3
2025-10-13 14:18:12,D档,3645,31664,auto,6
2025-10-13 14:18:12,D档,3902,31664,auto,8
2025-10-13 14:18:12,D档,63,31664,auto,6
2025-10-13 14:18:12,D档,831,31664,auto,6
2025-10-13 14:18:12,D档,2878,31664,auto,15
